Original_Date,Year,Month,Day,Site,Actitis macularius,Agelasticus cyanopus,Chionomesa lactea,Amazonetta brasiliensis,Anas bahamensis,Anas flavirostris,Anas georgica,Spatula versicolor,Anhinga anhinga,Aramides cajaneus,Aramides saracura,Aramus guarauna,Ardea alba,Ardea cocoi,Bartramia longicauda,Ardea ibis,Butorides striata,Cairina moschata,Calidris fuscicollis,Calidris himantopus,Calidris melanotos,Camptostoma obsoletum,Caracara plancus,Anarhynchus collaris,Chloroceryle amazona,Chloroceryle americana,Chrysomus ruficapillus,Conirostrum speciosum,Coragyps atratus,Cyclarhis gujanensis,Dendrocygna autumnalis,Dendrocygna bicolor,Dendrocygna viduata,Donacobius atricapilla,Dryocopus lineatus,Egretta thula,Elaenia flavogaster,Elaenia mesoleuca,Elaenia spectabilis,Empidonomus varius,Falco femoralis,Forpus xanthopterygius,Furnarius figulus,Gallinula galeata,Gallinago paraguaiae,Alopochen aegyptiaca,Himantopus mexicanus melanurus,Hirundo rustica,Icterus jamacaii,Ictinia plumbea,Jacana jacana,Laterallus melanophaius,Megaceryle torquata,Melanerpes candidus,Mesembrinibis cayennensis,Molothrus bonariensis,Myiarchus ferox,Myiarchus swainsoni,Myiodynastes maculatus,Myiophobus fasciatus,Nannopterum brasilianum,Nycticorax nycticorax,Parabuteo unicinctus,Pardirallus nigricans,Pardirallus sanguinolentus,Paroaria coronata,Patagioenas picazuro,Phacellodomus ferrugineigula,Phalaropus tricolor,Phimosus infuscatus,Pionus maximiliani,Pitangus sulphuratus,Platalea ajaja,Pluvialis dominica,Podilymbus podiceps,Porphyrio martinica,Psittacara leucophthalmus,Pyrocephalus rubinus,Pyroderus scutatus,Ramphastos dicolorus,Ramphocelus bresilia,Rostrhamus sociabilis,Rynchops niger,Satrapa icterophrys,Serpophaga subcristata,Sicalis flaveola,Syrigma sibilatrix,Spinus magellanicus,Streptoprocne zonaris,Tachybaptus dominicus,Tachycineta leucorrhoa,Tapera naevia,Thamnophilus ruficapillus,Theristicus caudatus,Tigrisoma lineatum,Tringa flavipes,Tringa melanoleuca,Tringa solitaria,Turdus amaurochalinus,Turdus flavipes,Tyrannus melancholicus,Tyrannus savana,Vanellus chilensis,Veniliornis spilogaster,Vireo chivi,Volatinia jacarina
4/12/09,2009,April,12,Embu,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,
4/12/09,2009,April,12,PET,,,,35,110,,,,3,,,,2,1,,,,,,,,,,,,,,,,,2,17,12,,,2,,,,,,,,90,,,44,,,,8,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,
5/9/09,2009,May,9,Embu,,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/09,2009,May,9,PET,,,,40,92,,,15,2,,,2,,,,,2,,,,,,,1,,,,,,,,,6,,,1,,,,,,,,85,,,9,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
5/30/09,2009,May,30,Embu,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/09,2009,May,30,PET,,,,25,65,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,25,,,,,,,,,,,90,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/09,2009,June,14,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,25,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/09,2009,June,14,PET,,,,30,86,,,,1,,,3,1,,,,2,,,,,,,1,,,,,,,,,25,,,2,,,,,,,,117,,,4,,,,8,,,,,,2,,,,2,7,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
7/3/09,2009,July,3,Embu,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,21,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/09,2009,July,3,PET,,,,70,93,,,,2,,,,1,,,,,,,,,,,1,,,,,,,,,16,,,8,,,,,,,,237,,,3,,,,26,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
7/19/09,2009,July,19,PET,,,,35,43,,,,2,,,3,5,,,,3,,,,,,,,,,,,,,,5,7,,,,,,,,,,,78,,,12,,,,7,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,
8/2/09,2009,August,2,Embu,,,,4,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,6,,14,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/09,2009,August,2,PET,,,,25,40,,,,2,,,2,,,,,3,,,,,,,,,,,,,,,40,185,,,2,,,,,,,,77,,,4,,,,4,,,,,,,,,,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/09,2009,August,23,Embu,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
8/23/09,2009,August,23,PET,,,,26,10,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,6,,,,10,1,,,,,,,,,8,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,
9/10/09,2009,September,10,Embu,,,,16,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,6,,,,,,,,,
9/10/09,2009,September,10,PET,,,,,2,,,,,,,2,1,,,120,,,,,,,,,,,,,,,,23,8,,,6,,,,,,,,64,,,,,,,12,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,
9/29/09,2009,September,29,Embu,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2,,,,,,,,,
9/29/09,2009,September,29,PET,,1,4,36,13,,,,,,,2,4,,,,2,1,,,,,,,,,,,,,,35,25,,,11,2,,,,,,,166,,,12,,,,32,,,,,,,,1,,8,,,,,,,,,,,,1,,,,,,,,1,2,1,,,,,,,,,,,,,26,1,1,,,4,,,,,
10/25/09,2009,October,25,Embu,1,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4,4,,,,,,,,
10/25/09,2009,October,25,PET,6,,,20,12,,,6,2,,,,,,,,4,,,,,,,,,,,,,,2,6,8,,,12,,,,,,,,140,,,4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,30,,4,,2,,,,,,
11/15/09,2009,November,15,Embu,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,,,,,,6,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,60,6,1,,,,,,,,
11/15/09,2009,November,15,PET,10,,,27,4,,,2,,,,,,,,,2,,,,2,,,,,,,,,,,6,6,,,6,,,,,,,,160,,,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,2,,,,,,,,,,,,,,60,,1,,,,,,,,
11/22/09,2009,November,22,Embu,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,12,2,,,,,,,,
11/22/09,2009,November,22,PET,3,1,,52,6,,,2,,,,,1,,,,,,,,,,,,,,,,,,,8,12,,,12,,,,,,,,145,,,4,,,,46,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,
12/20/09,2009,December,20,Embu,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,2,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,5,2,,,,,,,,
12/20/09,2009,December,20,PET,1,,,8,6,,,,,,,,8,1,,,2,,,,,,,,,,,,,,,8,,,,8,,,,,,,,79,,,,,,,24,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
1/30/10,2010,January,30,Embu,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2,1,,,,,,,,
1/30/10,2010,January,30,PET,,,,,25,,,2,,,,1,6,1,,,3,,,,,,,,,,,,,,,3,7,,,4,,,,,,,,4,,,3,,,,2,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,2,,,
3/7/10,2010,March,7,Embu,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,5,5,,,,,,,,
3/7/10,2010,March,7,PET,3,,,,95,,,,,,,,18,5,,,4,,,,,,,,,,,,,,,14,12,,,10,,,,,,,,110,,,,,,,24,,,,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3/27/10,2010,March,27,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,,,,,,,,
3/27/10,2010,March,27,PET,1,,,6,103,,,4,1,,,,8,2,,,3,,,,,,,,,,,,,,,29,20,,,2,,,,,,,,97,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
4/18/10,2010,April,18,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/10,2010,April,18,PET,1,,,6,200,,,2,2,,,,,,,,,,,,,,,,,,,,,,,20,4,,,12,,,,,,,,260,,,12,,,,18,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,
5/29/10,2010,May,29,Embu,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12,,4,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/10,2010,May,29,PET,,,,46,12,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,160,,,,,,,8,,,,,,,,,,28,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
7/5/10,2010,July,5,PET,,,,33,14,,,,5,,,2,8,,,,2,,,,,,,,,1,,,,,,,3,,,4,,,,,,,,39,,,,,,,3,,,,,,,,,,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/10,2010,July,31,Embu,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,14,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,
7/31/10,2010,July,31,PET,,,,50,6,,,,,,,,2,,,,2,,,,,,,,,,,,,,,6,4,,,,,,,,,,,125,,,4,,,,,1,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
8/15/10,2010,August,15,Embu,,2,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,24,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/10,2010,September,19,Embu,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,6,2,1,,,,,,,,
9/19/10,2010,September,19,PET,,,,32,2,,,,,,,2,1,,,,,,,,,,,,,,,,,,,12,,,,2,,,,,,,,65,,,2,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,,,
10/17/10,2010,October,17,Embu,,,,12,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,2,1,2,,,,8,,,,
10/17/10,2010,October,17,PET,,,,28,2,,,,1,,,3,,,,,1,,,,1,,,,,,,,,,,26,21,,,6,,,,,,,,180,,,4,,,,8,,,,,,,,,,6,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8,,6,,,,,,,,
12/11/10,2010,December,11,Embu,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,
12/11/10,2010,December,11,PET,4,,,16,4,,,,,,,,2,1,,,2,,,,,,,,,,,,,,,2,,,,2,,,,,,,,180,,,4,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,2,1,,,,,,,,
1/9/11,2011,January,9,Embu,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,
1/9/11,2011,January,9,PET,,,,12,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,60,,,,,,,8,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2/5/11,2011,February,5,PET,,,,4,3,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,14,,,6,,,,,,,,34,,,,,,,10,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,15,,,
3/8/11,2011,March,8,Embu,2,,,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,6,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,12,4,1,,,,,,,,
3/8/11,2011,March,8,PET,10,,,,48,,,2,,,,2,6,2,,,1,,,,,,,,,,,,,,,,12,,,4,,,,,,,,115,,,2,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,2,,,,,,,,
4/10/11,2011,April,10,PET,,,,40,70,,,,,,,2,6,,,,5,,,,,,,,,,,,,,,,2,,,8,,,,,,,,85,,,2,,,,6,,,,,,,,,,,2,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,
5/19/11,2011,May,19,PET,,,,26,14,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,180,,,,,,,18,,,,,,,,,,22,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/11,2011,June,12,PET,,,,22,20,,,,,,,,2,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,,,,120,,,4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/11,2011,August,24,PET,4,,,26,14,,,,,,,6,4,2,,,2,,,,,,,,,,,,,,,6,12,,,33,2,,,,,,,78,,,,,,,16,,,,,,,,,,2,4,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,
9/25/11,2011,September,25,PET,5,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,4,,,4,1,,,,,,,68,,,2,,,,3,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,,,,,,,,
11/13/11,2011,November,13,PET,,,,22,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,6,14,,,,,,,,,,,70,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,8,,,,,,,,
1/4/12,2012,January,4,Embu,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,4,,,,,,,,
1/4/12,2012,January,4,PET,,,,6,6,,,5,,,,2,2,1,,,1,,,,,,,,,,,,,,,,2,,,4,,,,,,,,45,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,10,2,1,,,,,,,,
2/4/12,2012,February,4,PET,,,,6,3,,,2,1,,,1,4,1,,,8,,,,,,,,1,,,,,,,,,,,3,,,,,,,,52,,,1,,,,6,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2,,,
2/9/12,2012,February,9,Embu,,,,2,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,4,,,,,,,,
2/9/12,2012,February,9,PET,1,,,6,8,,,2,,,,,2,,,,4,,,,,,,,,,,,,,,,8,,,6,,,,,,,,37,,,10,,,,12,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,5,,,,,,,120,,,
3/18/12,2012,March,18,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,,,,,,,
3/18/12,2012,March,18,PET,,,,12,23,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,2,4,,,8,,,,,,,,25,,,2,,,,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,1,,,,,,,,
4/15/12,2012,April,15,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,1,,,,,,,,
4/15/12,2012,April,15,PET,1,,,23,19,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,85,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,17,6,,,,,,,,,
5/14/12,2012,May,14,Embu,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/12,2012,May,14,PET,,,,37,,40,,6,,,,,2,2,,,2,,,,,,,,,,,,,,,2,6,,,4,,,,,,,,115,,,6,,,,,,,,,,,,,,4,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/12,2012,June,8,PET,,,,50,80,,,4,1,,,,3,,,,,,,,,,,,,,,,,,,12,20,,,,,,,,,,,120,,,,,,,8,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30//06/2012,2012,June,30,PET,,,,26,,,,,3,,,2,3,,,,1,,,,,,,,,,,,,,,2,,,,6,,,,,,,,36,,,1,,,,5,,,,,,,,,,26,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
8/30/12,2012,August,30,PET,4,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
10/8/12,2012,October,8,PET,1,,,35,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,4,,,,14,,,,,,,,40,,,6,,,,18,,,,,,,,,,30,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
12/16/12,2012,December,16,PET,,,,6,4,,,,,,,,2,1,,,2,,,,,,,,,,,,,,,,4,,,2,,,,,,,,20,,,,,,,4,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
3/24/12,2012,March,24,PET,,,,14,6,,,,,,,2,2,1,,,4,,,,,,,,,,,,,,1,6,8,,,6,,,,,,,,34,,,,,,,7,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,
2/2/13,2013,February,2,PET,,,,1,,,,,1,,,1,5,1,,,5,,,,,,,,,,,,,,,,13,,,13,,,,,,,,18,,,4,,,,6,,,,,,,,,,11,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,
7/13/13,2013,July,13,PET,,,,25,,,,,1,,1,3,7,,,,3,5,,,,,,,,,,,,,,,,,,10,,,,,,,,26,,,,,,,5,,1,,,,,,,,33,6,,,,,,,,,,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/13,2013,August,10,PET,,,,6,,,,8,2,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/13,2013,October,13,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,4,,,180,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,2,,,,,,,1,
10/13/13,2013,October,13,PET,,,,22,5,,,,,,,,1,,,,2,,,2,,,,,,,,,,,,6,15,,,3,,,,,,,,33,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,12,5,1,,,,,,,1,
11/3/13,2013,November,3,PET,,,,6,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,,,2,,,,,,,,15,,,2,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,1,,,,,,,,
12/28/13,2013,December,28,PET,,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,14,,,,,,,8,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/14,2014,January,12,Embu,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,18,1,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1/12/14,2014,January,12,PET,,,,12,6,,,,1,,,,4,1,,,,,,,,,,,,,,,,,,5,4,,,2,,,,,,,,25,,,,,,,6,,,,,,,,,,6,2,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2/2/14,2014,February,2,PET,,,,,,,,,,,,2,3,1,,,3,,,,,,,,1,1,,,,,,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
2/22/14,2014,February,22,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,
2/22/14,2014,February,22,PET,,,,12,18,,,,,,,,3,1,,,,,,,2,,,,,,,,,,,4,,,,4,,,,,,,,32,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
3/15/14,2014,March,15,Embu,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,6,,,80,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,150,20,,,,,,200,,,
3/15/14,2014,March,15,PET,3,,,6,37,,,,,,,,3,1,,,,,,,1,,,,,,,,,,,4,4,,,6,,,,,,,,34,,,12,,,,8,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,25,,,
3/30/14,2014,March,30,Embu,,,,2,,,,,,,,,2,,,12,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,12,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,6,2,,,,,100,,,
4/13/14,2014,April,13,Embu,,6,,14,3,,,,,,,,2,,,16,,,,,,,,,,,,,180,,,,,,,8,,,,,,,,22,,,260,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,40,,2,,,,,120,,,
4/13/14,2014,April,13,PET,,,,18,45,,,,2,,,2,4,1,,12,2,,,,,,,,,,,,,,,,,,,12,1,,,,,,,48,,,,,,,8,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/14,2014,April,20,Embu,,,,6,2,,,,,,,,2,,,6,,,,,,,,,,,,,120,,,,,,,40,,,,,,,1,18,,,335,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,12,,1,,,,,60,,,
4/20/14,2014,April,20,PET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/14,2014,April,27,Embu,,,,8,2,,,,,,,,4,,,6,,,,,,,,,,,,,120,,,,,,,50,,,,,,,,20,10,,200,,,,12,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,80,,,
4/27/14,2014,April,27,PET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
